Fecha;Suma de Generación;Tipo fuente
2021-02-21;0,15560741;Eólica
2021-02-21;0,97003314;Solar
2021-02-22;2,35949388;Biomasa
2021-02-22;0,15466142;Eólica
2021-02-22;0,90804788;Solar
2021-02-23;2,49100568;Biomasa
2021-02-23;0,17093971;Eólica
2021-02-23;0,93708204;Solar
2021-02-24;2,47172388;Biomasa
2021-02-24;0,27482837;Eólica
2021-02-24;0,74837992;Solar
2021-02-25;2,36871075;Biomasa
2021-02-25;0,2931411;Eólica
2021-02-25;0,83005014;Solar
2021-02-26;2,53510629;Biomasa
2021-02-26;0,29899871;Eólica
2021-02-26;1,04122442;Solar
2021-02-27;2,4386951;Biomasa
2021-02-27;0,25440345;Eólica
2021-02-27;0,97331341;Solar
2021-02-28;2,57051956;Biomasa
2021-02-28;0,25916714;Eólica
2021-02-28;1,00335399;Solar
2021-03-01;2,32953375;Biomasa
2021-03-01;0,2371136;Eólica
2021-03-01;0,96484755;Solar
2021-03-02;2,39896789;Biomasa
2021-03-02;0,17595875;Eólica
2021-03-02;0,90794994;Solar
2021-03-03;2,06304005;Biomasa
2021-03-03;0,19085297;Eólica
2021-03-03;1,04866118;Solar
2021-03-04;2,46291913;Biomasa
2021-03-04;0,14966088;Eólica
2021-03-04;0,81402788;Solar
2021-03-05;2,46758318;Biomasa
2021-03-05;0,15381266;Eólica
2021-03-05;0,77622954;Solar
2021-03-06;2,52757027;Biomasa
2021-03-06;0,13487195;Eólica
2021-03-06;0,72196939;Solar
2021-03-07;2,37615768;Biomasa
2021-03-07;0,20343808;Eólica
2021-03-07;0,74001342;Solar
2021-03-08;2,21563819;Biomasa
2021-03-08;0,21196393;Eólica
2021-03-08;0,7306252;Solar
2021-03-09;2,50703073;Biomasa
2021-03-09;0,18547996;Eólica
2021-03-09;0,91449358;Solar
2021-03-10;2,55657767;Biomasa
2021-03-10;0,16632006;Eólica
2021-03-10;0,83448198;Solar
2021-03-11;2,45238815;Biomasa
2021-03-11;0,15503593;Eólica
2021-03-11;0,71771413;Solar
2021-03-12;2,48490066;Biomasa
2021-03-12;0,12269462;Eólica
2021-03-12;0,87439373;Solar
2021-03-13;2,43429794;Biomasa
2021-03-13;0,13631946;Eólica
2021-03-13;0,60460151;Solar
2021-03-14;2,64059607;Biomasa
2021-03-14;0,17265416;Eólica
2021-03-14;0,96075254;Solar
2021-03-15;2,53387954;Biomasa
2021-03-15;0,18402973;Eólica
2021-03-15;0,86252107;Solar
2021-03-16;2,08304924;Biomasa
2021-03-16;0,19702342;Eólica
2021-03-16;0,56352369;Solar
2021-03-17;2,45199631;Biomasa
2021-03-17;0,21364139;Eólica
2021-03-17;0,73460683;Solar
2021-03-18;2,57011913;Biomasa
2021-03-18;0,20424847;Eólica
2021-03-18;0,76204089;Solar
2021-03-19;2,64146483;Biomasa
2021-03-19;0,15844129;Eólica
2021-03-19;0,98863634;Solar
2021-03-20;2,61365904;Biomasa
2021-03-20;0,14319403;Eólica
2021-03-20;1,05853047;Solar
2021-03-21;2,63932637;Biomasa
2021-03-21;0,19013663;Eólica
2021-03-21;1,19225503;Solar
2021-03-22;2,64624064;Biomasa
2021-03-22;0,17934266;Eólica
2021-03-22;0,52415102;Solar
2021-03-23;2,25663917;Biomasa
2021-03-23;0,15385641;Eólica
2021-03-23;0,70402447;Solar
2021-03-24;1,82678698;Biomasa
2021-03-24;0,19339138;Eólica
2021-03-24;0,78411186;Solar
2021-03-25;1,84346928;Biomasa
2021-03-25;0,25679727;Eólica
2021-03-25;0,73727455;Solar
2021-03-26;2,14057221;Biomasa
2021-03-26;0,2817544;Eólica
2021-03-26;0,71048579;Solar
2021-03-27;2,06743277;Biomasa
