Fecha;Tipo fuente;Suma de Generación
2021-03-09;Hidráulica;155,8117165
2021-03-10;Combustible fósil;35,71580403
2021-03-10;Hidráulica;159,6084888
2021-03-11;Combustible fósil;33,08358093
2021-03-11;Hidráulica;164,5857842
2021-03-12;Combustible fósil;40,50426242
2021-03-12;Hidráulica;158,0537186
2021-03-13;Combustible fósil;37,32158043
2021-03-13;Hidráulica;150,9145392
2021-03-14;Combustible fósil;33,99610338
2021-03-14;Hidráulica;137,5688629
2021-03-15;Combustible fósil;37,54890717
2021-03-15;Hidráulica;157,6860398
2021-03-16;Combustible fósil;36,24999492
2021-03-16;Hidráulica;159,3115978
2021-03-17;Combustible fósil;37,63463836
2021-03-17;Hidráulica;159,1174142
2021-03-18;Combustible fósil;35,72981646
2021-03-18;Hidráulica;161,0416132
2021-03-19;Combustible fósil;31,29112829
2021-03-19;Hidráulica;166,3552455
2021-03-20;Combustible fósil;31,39266218
2021-03-20;Hidráulica;156,7404619
2021-03-21;Combustible fósil;25,25088553
2021-03-21;Hidráulica;148,4762372
2021-03-22;Combustible fósil;25,85888658
2021-03-22;Hidráulica;151,4754729
2021-03-23;Combustible fósil;27,49524798
2021-03-23;Hidráulica;169,9242963
2021-03-24;Combustible fósil;28,49304379
2021-03-24;Hidráulica;174,9819253
2021-03-25;Combustible fósil;28,67361445
2021-03-25;Hidráulica;175,3087616
2021-03-26;Combustible fósil;28,73815076
2021-03-26;Hidráulica;170,3029709
2021-03-27;Combustible fósil;30,88608445
2021-03-27;Hidráulica;160,9854605
2021-03-28;Combustible fósil;29,74664942
2021-03-28;Hidráulica;145,8535598
2021-03-29;Combustible fósil;29,96123555
2021-03-29;Hidráulica;170,8907936
2021-03-30;Combustible fósil;25,7236041
2021-03-30;Hidráulica;175,16894
2021-03-31;Combustible fósil;26,56180658
2021-03-31;Hidráulica;168,9685079
2021-04-01;Combustible fósil;22,6858023
2021-04-01;Hidráulica;150,6424294
2021-04-02;Combustible fósil;22,78470515
2021-04-02;Hidráulica;137,4153193
2021-04-03;Combustible fósil;30,59983092
2021-04-03;Hidráulica;140,0576788
2021-04-04;Combustible fósil;30,81227125
2021-04-04;Hidráulica;136,6852665
2021-04-05;Combustible fósil;33,1074768
2021-04-05;Hidráulica;164,6092394
2021-04-06;Combustible fósil;28,14005011
2021-04-06;Hidráulica;171,9371342
2021-04-07;Combustible fósil;29,0374674
2021-04-07;Hidráulica;167,1244248
2021-04-08;Combustible fósil;28,85751767
2021-04-08;Hidráulica;172,3199659
2021-04-09;Combustible fósil;26,14986211
2021-04-09;Hidráulica;171,9183702
2021-04-10;Combustible fósil;25,8900222
2021-04-10;Hidráulica;164,1023194
2021-04-11;Combustible fósil;26,12614684
2021-04-11;Hidráulica;153,9134215
2021-04-12;Combustible fósil;28,20311886
2021-04-12;Hidráulica;169,3566089
2021-04-13;Combustible fósil;25,78433259
2021-04-13;Hidráulica;176,1702621
2021-04-14;Combustible fósil;25,44411138
2021-04-14;Hidráulica;174,9532615
2021-04-15;Combustible fósil;26,21575073
2021-04-15;Hidráulica;171,9544592
2021-04-16;Combustible fósil;28,08968592
2021-04-16;Hidráulica;170,9442424
2021-04-17;Combustible fósil;28,45861123
2021-04-17;Hidráulica;163,725061
2021-04-18;Combustible fósil;27,25410107
2021-04-18;Hidráulica;145,2507521
2021-04-19;Combustible fósil;34,33802505
2021-04-19;Hidráulica;162,7405918
2021-04-20;Combustible fósil;33,75688508
2021-04-20;Hidráulica;171,1489349
2021-04-21;Combustible fósil;36,75248948
2021-04-21;Hidráulica;162,7789284
2021-04-22;Combustible fósil;38,5514161
2021-04-22;Hidráulica;162,5208323
2021-04-23;Combustible fósil;37,43846789
2021-04-23;Hidráulica;161,1020705
2021-04-24;Combustible fósil;35,34727674
2021-04-24;Hidráulica;159,1821649
2021-04-25;Combustible fósil;36,10027144
2021-04-25;Hidráulica;141,0155444
2021-04-26;Combustible fósil;41,81609007
2021-04-26;Hidráulica;156,4189293
2021-04-27;Combustible fósil;44,01366046
2021-04-27;Hidráulica;153,492471
2021-04-28;Combustible fósil;42,43388436
2021-04-28;Hidráulica;145,6666488
2021-04-29;Combustible fósil;39,27911862
2021-04-29;Hidráulica;149,0982303
2021-04-30;Combustible fósil;34,96792349
2021-04-30;Hidráulica;150,0059943
2021-05-01;Combustible fósil;24,79286966
2021-05-01;Hidráulica;151,777114
2021-05-02;Combustible fósil;26,34256537
2021-05-02;Hidráulica;143,4407688
2021-05-03;Combustible fósil;26,2158865
2021-05-03;Hidráulica;160,4220068
2021-05-04;Combustible fósil;27,8212943
2021-05-04;Hidráulica;160,8242337
2021-05-05;Combustible fósil;25,19963346
2021-05-05;Hidráulica;159,5326354
2021-05-06;Combustible fósil;23,90194748
2021-05-06;Hidráulica;164,6225595
2021-05-07;Combustible fósil;20,03388552
2021-05-07;Hidráulica;170,0617153
2021-05-08;Combustible fósil;19,36992377
2021-05-08;Hidráulica;162,228902
2021-05-09;Combustible fósil;17,33532736
2021-05-09;Hidráulica;150,4278496
2021-05-10;Combustible fósil;20,41625653
2021-05-10;Hidráulica;170,4905144
2021-05-11;Combustible fósil;21,52931467
2021-05-11;Hidráulica;176,5384957
2021-05-12;Combustible fósil;22,74083324
2021-05-12;Hidráulica;174,4130866
2021-05-13;Combustible fósil;23,7101393
2021-05-13;Hidráulica;177,2078147
2021-05-14;Combustible fósil;22,57416256
2021-05-14;Hidráulica;181,4816125
2021-05-15;Combustible fósil;23,70522687
2021-05-15;Hidráulica;172,5735738
2021-05-16;Combustible fósil;23,96404912
2021-05-16;Hidráulica;154,6642047
2021-05-17;Combustible fósil;21,61189612
2021-05-17;Hidráulica;157,9048623
2021-05-18;Combustible fósil;25,18874697
2021-05-18;Hidráulica;169,2549887
2021-05-19;Combustible fósil;28,39502766
2021-05-19;Hidráulica;170,468843
2021-05-20;Combustible fósil;26,16816243
2021-05-20;Hidráulica;177,9903983
2021-05-21;Combustible fósil;26,46219724
2021-05-21;Hidráulica;179,8316855
2021-05-22;Combustible fósil;24,50174151
2021-05-22;Hidráulica;173,4788402
2021-05-23;Combustible fósil;22,54936507
2021-05-23;Hidráulica;157,3645038
2021-05-24;Combustible fósil;31,90548569
2021-05-24;Hidráulica;170,9840818
2021-05-25;Combustible fósil;35,7996716
2021-05-25;Hidráulica;168,9977162
2021-05-26;Combustible fósil;32,81267026
2021-05-26;Hidráulica;172,6916962
2021-05-27;Combustible fósil;27,00315385
2021-05-27;Hidráulica;177,9841454
2021-05-28;Combustible fósil;34,03167067
2021-05-28;Hidráulica;166,5795625
2021-05-29;Combustible fósil;31,96689226
2021-05-29;Hidráulica;159,8575288
2021-05-30;Combustible fósil;26,96619981
2021-05-30;Hidráulica;149,610526
2021-05-31;Combustible fósil;29,59300706
2021-05-31;Hidráulica;170,3238488
2021-06-01;Combustible fósil;29,40058287
2021-06-01;Hidráulica;172,1263168
2021-06-02;Combustible fósil;27,47880792
2021-06-02;Hidráulica;174,4154881
2021-06-03;Combustible fósil;28,4893556
2021-06-03;Hidráulica;177,1334124
2021-06-04;Combustible fósil;30,53992786
2021-06-04;Hidráulica;175,2414744
2021-06-05;Combustible fósil;29,18418829
2021-06-05;Hidráulica;167,9259511
2021-06-06;Combustible fósil;24,99236359
2021-06-06;Hidráulica;152,5480739
2021-06-07;Combustible fósil;23,7937468
2021-06-07;Hidráulica;154,4963388
2021-06-08;Combustible fósil;26,16372569
2021-06-08;Hidráulica;170,3408795
2021-06-09;Combustible fósil;26,06380843
2021-06-09;Hidráulica;170,3548975
2021-06-10;Combustible fósil;26,36828235
2021-06-10;Hidráulica;174,2942889
2021-06-11;Combustible fósil;26,4323135
2021-06-11;Hidráulica;179,8217487
2021-06-12;Combustible fósil;24,05431583
2021-06-12;Hidráulica;171,8493898
2021-06-13;Combustible fósil;22,1668378
2021-06-13;Hidráulica;154,8212818
2021-06-14;Combustible fósil;22,61308289
2021-06-14;Hidráulica;157,9409889
2021-06-15;Combustible fósil;30,24020301
2021-06-15;Hidráulica;170,3134149
2021-06-16;Combustible fósil;28,26185412
2021-06-16;Hidráulica;175,9361513
2021-06-17;Combustible fósil;31,06054442
2021-06-17;Hidráulica;178,1885228
2021-06-18;Combustible fósil;30,80198349
2021-06-18;Hidráulica;176,2759244
2021-06-19;Combustible fósil;26,27373802
2021-06-19;Hidráulica;172,6307977
2021-06-20;Combustible fósil;23,26500693
2021-06-20;Hidráulica;158,2730264
2021-06-21;Combustible fósil;27,06878906
2021-06-21;Hidráulica;174,451307
2021-06-22;Combustible fósil;27,46035891
2021-06-22;Hidráulica;176,2325422
2021-06-23;Combustible fósil;27,66751998
2021-06-23;Hidráulica;177,6445725
2021-06-24;Combustible fósil;26,24171032
2021-06-24;Hidráulica;173,7481715
2021-06-25;Combustible fósil;28,0506957
2021-06-25;Hidráulica;172,3466372
2021-06-26;Combustible fósil;26,99083061
2021-06-26;Hidráulica;165,7717817
2021-06-27;Combustible fósil;21,42175025
2021-06-27;Hidráulica;154,5729104
2021-06-28;Combustible fósil;27,28304781
2021-06-28;Hidráulica;174,2557203
2021-06-29;Combustible fósil;29,38003823
2021-06-29;Hidráulica;178,6264278
2021-06-30;Combustible fósil;30,22021439
2021-06-30;Hidráulica;177,0830543
2021-07-01;Combustible fósil;28,09062688
2021-07-01;Hidráulica;175,4454133
2021-07-02;Combustible fósil;27,36984154
2021-07-02;Hidráulica;178,0821769
2021-07-03;Combustible fósil;26,38292421
2021-07-03;Hidráulica;169,6792291
2021-07-04;Combustible fósil;26,39965604
2021-07-04;Hidráulica;147,8148109
2021-07-05;Combustible fósil;24,44958482
2021-07-05;Hidráulica;155,3235056
2021-07-06;Combustible fósil;30,27284706
2021-07-06;Hidráulica;172,8540817
2021-07-07;Combustible fósil;31,56762455
2021-07-07;Hidráulica;176,0748193
2021-07-08;Combustible fósil;34,11648589
2021-07-08;Hidráulica;174,8041549
2021-07-09;Combustible fósil;33,81905017
2021-07-09;Hidráulica;174,7605604
2021-07-10;Combustible fósil;27,93827678
2021-07-10;Hidráulica;169,6167761
2021-07-11;Combustible fósil;30,23457583
2021-07-11;Hidráulica;149,1183972
2021-07-12;Combustible fósil;29,46064248
2021-07-12;Hidráulica;175,6568615
2021-07-13;Combustible fósil;28,53785882
